alias,player_id,player_name,position,player_name_norm
aaronramsdale,0,Aaron Ramsdale,Goalkeeper,aaron ramsdale
aaron ramsdale,0,Aaron Ramsdale,Goalkeeper,aaron ramsdale
ramsdale,0,Aaron Ramsdale,Goalkeeper,aaron ramsdale
alisson becker,1,Alisson,Goalkeeper,alisson
alisson,1,Alisson,Goalkeeper,alisson
alissonbecker,1,Alisson,Goalkeeper,alisson
ederson,2,Ederson,Goalkeeper,ederson
emiliano martinez,3,Emiliano Martinez,Goalkeeper,emiliano martinez
emi martinez,3,Emiliano Martinez,Goalkeeper,emiliano martinez
dibu martinez,3,Emiliano Martinez,Goalkeeper,emiliano martinez
emilianomartinez,3,Emiliano Martinez,Goalkeeper,emiliano martinez
dibu,3,Emiliano Martinez,Goalkeeper,emiliano martinez
courtois,4,Thibaut Courtois,Goalkeeper,thibaut courtois
thibaut courtois,4,Thibaut Courtois,Goalkeeper,thibaut courtois
thibautcourtois,4,Thibaut Courtois,Goalkeeper,thibaut courtois
tonyrudiger,5,Antonio Rüdiger,Defender,antonio rudiger
rudiger,5,Antonio Rüdiger,Defender,antonio rudiger
antoniorudiger,5,Antonio Rüdiger,Defender,antonio rudiger
antonio rudiger,5,Antonio Rüdiger,Defender,antonio rudiger
tony rudiger,5,Antonio Rüdiger,Defender,antonio rudiger
joao cancelo,6,João Cancelo,Defender,joao cancelo
cancelo,6,João Cancelo,Defender,joao cancelo
joaocancelo,6,João Cancelo,Defender,joao cancelo
kyle walker,7,Kyle Walker,Defender,kyle walker
kylewalker,7,Kyle Walker,Defender,kyle walker
luke shaw,8,Luke Shaw,Defender,luke shaw
lukeshaw,8,Luke Shaw,Defender,luke shaw
nathan ake,9,Nathan Aké,Defender,nathan ake
ake,9,Nathan Aké,Defender,nathan ake
nathanake,9,Nathan Aké,Defender,nathan ake
ruben dias,10,Rúben Dias,Defender,ruben dias
rubendias,10,Rúben Dias,Defender,ruben dias
thiago silva,11,Thiago Silva,Defender,thiago silva
thiagosilva,11,Thiago Silva,Defender,thiago silva
trent,12,Trent Alexander-Arnold,Defender,trent alexander arnold
