player_name,matched_aliases,tweet_mentions,example_tweet
Lionel Messi,messi,17827,"0 goal in knockout game of a World cup before this one and now he is the only player to score in each of the knockout game of a single world cup, this WC belongs to him.
#Messi𓃵 
#FIFAWorldCup https://t.co/DIFd02TtZc"
Kylian Mbappé,mbappe,8621,@00_miski @Football__Tweet No player in history has scored more goals than Mbappé in a World Cup final 🤷🏽‍♂️ That’s a GOAT sort of player
Cristiano Ronaldo,ronaldo,7494,"0 football Knowledge.
Euro 04 Ronaldo 2+1 goals, Figo 0.

Ronaldo’s first worldcup was 2006. Portugals last worldcup before that was 1986. Ronaldo was a 1 year old. Portugal were never rated internationally until Ronaldo. https://t.co/6MSvhZaspx"
Lionel Messi,lionel messi,2442,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
Lionel Messi,goat_contextual|messi,2333,"1 UP ⬆️ 🆙 
🇦🇷🇦🇷🇦🇷🇦🇷

Messi now on 12 Goals in 5 editions of World Cup 

#GOAT𓃵"
Kylian Mbappé,kylian mbappe|kylian_contextual,1842,"1/2 France star striker Kylian Mbappé is the winner of the 2022 FIFA World Cup Golden Boot award after scoring three goals in Sunday's final against Argentina, bringing his total to eight in the tournament.

https://t.co/X7xuAYkQ29"
Neymar,neymar,1417,@089968Raph___ @FIFAWorldCup The last min goal by Croatia is a deflection not a pure one like Neymar .. they went by luck...
Cristiano Ronaldo,cristiano ronaldo,1031,"0 WORLD CUP KNOCKOUT goals
0 WORLD CUP FINAL APPEARANCE 

There he is, Cristiano Ronaldo! The fighter https://t.co/vX7I0viud4"
Julián Álvarez,alvarez,831,1 goal behind the top goal scorer this World Cup and he didn’t even start the first few games AND doesn’t take pens. What a first World Cup for Juli Alvarez already
Olivier Giroud,giroud,762,"1. It wasn’t a penalty as Di María fell too easy and has been a notorious flopper throughout his entire career.
2. Argentina’s second goal was a beautiful display of team passing and Messi’s magic.
3. The French coach made a mistake taking Giroud out of the game.
#WorldCup"
Cristiano Ronaldo,cr7,748,2 of Messi's assists this World Cup campaign have been better than any goal CR7 has scored in the last 2 years btw https://t.co/NgeRs1d8Zt
Cristiano Ronaldo,goat_contextual|ronaldo,729,"- 0 Goal Contribution in WC KO stage
- Never played in a World Cup Finals
- Never won a Golden Boot or a Golden ball in any international tournament
- Didn't contribute to the Euros Final that his team won

Ronaldo knew he could never be mentioned in any GOAT debate again https://t.co/KppQLZ3yZW"
Cristiano Ronaldo,cristiano,717,@_0MBH @Ultra_Suristic Cristiano is about to finish his career with 0 world cup knockout goals and Messi is about to have a world cup trophy and 2 world cup player of the tournament awards 😂
Lionel Messi,lionel messi|messi,634,"10) Lionel Messi 🤝 Kylian mbappe  equals Pele record for the most goal contributions in a single edition of the FIFA WORLD CUP TOURNAMENT, (10 G/A). 

Messi - 7G 3A 
Mbappe - 8G 2A."
Harry Kane,kane,623,"12/10 World Cup predictions

Portugal vs Morocco 
2-0 Portugal

Goals by Ramos and Fernandes

England vs France
2-1 England

Goals by Saka, Kane and Mbappe"
Harry Kane,harry kane,537,"1/(2018): France 🇫🇷 won the World Cup for the second time in 2018, 20 years after their first victory in 1998. Host Nation: Russia🇷🇺. Golden boot:Harry Kane ( 🏴󠁧󠁢󠁥󠁮󠁧󠁿) 6 goals  Cost: : $14.5 billion https://t.co/Xjkd9Ynzre"
Julián Álvarez,julian alvarez,516,"10 years ago: asking Leo Messi for a pic as big fan, dreaming of World Cup one day…

Tonight: Julián Álvarez from Calchín scores in World Cup semifinal.

WHAT A GOAL 

🕷️🇦🇷 #Qatar2022 #ARGCRO #ArgentinaVsCroatia Messi https://t.co/765fp117TW"
Luka Modrić,modric,410,"10' ⏰ Who will score the first goal?

#Brazil #Croatia #CROBRA #BRACRO #Brasil #betFIRST #WorldCup #FIFAWorldCup #Qatar2022 #Neymar #Modric #Richarlison"
Bukayo Saka,saka,410,@10Dazard @AFCRITZZ @RedWallNews1 Ain’t no one cocky mate we a good team we could of won the World Cup if the match wasn’t fixed saka went down no foul and they scored simple foul that was even French fans have said they shouldn’t of got that goal of you know football you know that shouldn’t be allowed
Emiliano Martinez,martinez_contextual,373,@1burnm It was a Shakespearean epic in the form of a football match. Past vs Future. Maybe the two greatest individual performances in a world cup final ever. Messi and Mbappe. The hat trick. The two goals from France in 3 mins. The last save from Martinez at the death. Absolutely unreal
Lionel Messi,leo messi|leo_contextual,353,"👕1,003 games
 793 career goals
One (1)World Cup
One (1)Copa America
Eleven (11)League Titles
Four (4)Champions League
Three (3)FIFA Club World Cup
Three (3)UEFA Super Cup
Seven (7) Ballon d'Or

Leo Messi's career masterpiece is now completed  🐐 https://t.co/HHyiZgLYxc"
Kylian Mbappé,kylian mbappe|kylian_contextual|mbappe,350,"10) Lionel Messi 🤝 Kylian mbappe  equals Pele record for the most goal contributions in a single edition of the FIFA WORLD CUP TOURNAMENT, (10 G/A). 

Messi - 7G 3A 
Mbappe - 8G 2A."
Neymar,neymarjr,312,"1 Brazil fan was caught stealing the khasi in the joy of Brazil winning by 4 goals to 1 yesterday. The incident happened at the Saudi market of Tanggab Union in Gafargaon, Mymensingh.

Source: Niguari Union news
@FIFAWorldCup 
#FIFAWorldCup2022 
@neymarjr https://t.co/2vmEBqEsg2"
Karim Benzema,benzema,299,"1. No European Champions
2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more
3. Ronaldo, Messi past their prime
4. No footballing heritage in Qatar
5. Restrictions on fans

Most boring World Cup ???

#FIFAWorldCup 
#Qatar2022 
#WorldCup2022"
Marcus Rashford,rashford,253,"1 start 3 Goals in 5 world cup games 
Rashford underserved https://t.co/uJHNqfPyrZ"
Olivier Giroud,olivier giroud,246,"2018 fifa world cup
Olivier Giroud 0 goals 1 assist 
Griezman 3 goals 0 assists

2022 fifa world cup
Olivier Giroud 4 goals 
Antoine griezman 0 goals 3 assists ......

Not scoring a goal is sometimes part of the plan #Griezmann #FrancevsMorocco"
Cristiano Ronaldo,cr7|ronaldo,210,2014 world cup Ronaldo had a very weak Portugal team that were not expected to go far. He risked his career playing with an injury that he needed to rest to help his country. they got eliminated early with CR7 scoring a winning goal vs ghana and game tying assist vs USA.Bad luck https://t.co/WHum3XGno8
Bruno Fernandes,bruno fernandes|bruno_contextual|fernandes_contextual,200,"2 goals and 3 assists for Bruno Fernandes so far at the World Cup, he’s been superb!"
Lionel Messi,goat_contextual|lionel messi,141,"""2022 FIFA World Cup Qatar Final:

Argentina🇦🇷 vs France🇫🇷

Location: Lusail Qatar🇶🇦
Venue: Lusail Iconic Stadium

Time: Sunday 18/12/2022   07:00

🇦🇷Lionel Messi⚽⚽⚽⚽⚽ ✅
🇫🇷Kylian Mbappé⚽⚽⚽⚽⚽✅

#FIFAWorldCup #GOAT𓃵 #QatarWorldCup2022 https://t.co/CjcHHIxU7h"""
Cristiano Ronaldo,cristiano|ronaldo,140,"@10_9XM @ESPNFC Who wouldn't wanna talk about Messi ? The man has had a brilliant World Cup run so far , goals and assists ... And Ronaldo ? What should ESPN talk about ? His interviews ? Him walking out of a Man U match ? There's nothing positive that was done by Cristiano this year , NOTHING !"
Lionel Messi,goat_contextual,114,"@2_____2____ @Alsonn___ I rate Leo as the GOAT now due to his incomparable CV (7 Ballon d’Ors, 6 FIFA POTY, 3 UEFA POTY, 2 FIFA World Cup Golden Balls, 6x UCL Top Scorer, 6 European Golden Shoes, 4 IFFHS World Best Playmaker Awards, 1 World Cup, 3 UCLs, 700+ Goals and 300+ Assists)

What about you ?"
Cristiano Ronaldo,cr7|goat_contextual,112,"1/2
One Last Chance,One Last Dream,This is the last World Cup for Cr7,I love &amp; support you,Best of Luck my goat,Plz score atleast one goal today😭❤️🙏
#GOAT 
#cristianoronaldo 
#portugal 
#Qatarworldcup2022"
Kylian Mbappé,kylianmbappe,111,"* 12 World Cup goals in 14 games. 
* 6th-highest men’s World Cup scorer
* First hat trick in men’s final since 1966.
* 253 senior career goals.

Champion player.!

happy birthday, @KMbappe , the price of strong attitudes ! 

#KylianMbappe https://t.co/BlOJdy1ACt"
Lionel Messi,goat_contextual|lionel messi|messi,106,"1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.

Lionel Messi's career masterpiece is complete. He is the greatest soccer player of all time #GOAT 🐐 #Messi𓃵 #Messi𓃵day https://t.co/adCPHLzd9F"
Cristiano Ronaldo,cristiano ronaldo|ronaldo,99,"@4d65737369 @itzwhyt @susezni @laligafrauds Cristiano Ronaldo did not have team mates to finish simple goals for his country 
Messi always had a better international team till now and also this Argentina were unbeaten for 35 games till the world cup 😂
Also Ronaldo has a fair bycycle kick disallowed against 2010 Spain 😂😂"
Lionel Messi,leo messi|leo_contextual|messi,96,"1,003 games. 
793 goals (+340 Assists). 
7 Ballons d’Or. 
One World Cup 🏆

Leo Messi's career masterpiece is complete 🐐
#Messi #FIFAWorldCup https://t.co/w0SsGkAbKM"
Jude Bellingham,bellingham,93,"@acspam2021 @ESPNFC Can't measure Casemiro's impact with goal scoring. He is the best defensive mid in the game. The world cup only strengthened that. Bellingham will be great but wasn't amongst the top 11. Bruno carried Portugal, was their best player. Bellingham was not the best player on Eng-yet."
Karim Benzema,karim benzema,86,"🏟 97 Games
⚽️ 37 Goals
🎯 20 Assists

🏆 Nations League
🥈 World Cup

❌ Karim Benzema has announced his retirement from international football! https://t.co/BHeP2QgCAg"
Cristiano Ronaldo,cristiano|goat_contextual,83,@1realdeezy @LaShuga1 @wise_moni @Femillionairee @kwadwosheldon @Cristiano You don't rate it and your he-goat is a joint top goal scorer of the world Cup scoring 4 of them
Emiliano Martinez,emiliano martinez|martinez_contextual,83,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
