player_id,player_name,position,tweet_mentions,row_mentions,total_known_likes,total_known_retweets,aliases_seen,example_tweet
37,Lionel Messi,Forward,24413,24413,5524.0,60776.0,goat_contextual | goat_contextual|leo messi|leo_contextual | goat_contextual|leo messi|leo_contextual|leomessi|lionel messi|messi | goat_contextual|leo messi|leo_contextual|leomessi|messi | goat_contextual|leo messi|leo_contextual|lionel messi | goat_contextual|leo messi|leo_contextual|lionel messi|messi | goat_contextual|leo messi|leo_contextual|lm10 | goat_contextual|leo messi|leo_contextual|messi | goat_contextual|leo_contextual | goat_contextual|leo_contextual|leomessi|lionel messi|messi | goat_contextual|leo_contextual|messi | goat_contextual|leomessi | goat_contextual|leomessi|lionel messi|messi | goat_contextual|leomessi|messi | goat_contextual|lionel messi | goat_contextual|lionel messi|lm10 | goat_contextual|lionel messi|messi | goat_contextual|lm10 | goat_contextual|lm10|messi | goat_contextual|messi | leo messi|leo_contextual | leo messi|leo_contextual|leomessi | leo messi|leo_contextual|leomessi|lionel messi|messi | leo messi|leo_contextual|leomessi|messi | leo messi|leo_contextual|lionel messi | leo messi|leo_contextual|lionel messi|messi | leo messi|leo_contextual|lm10|messi | leo messi|leo_contextual|messi | leo_contextual | leo_contextual|leomessi|messi,"0 goal in knockout game of a World cup before this one and now he is the only player to score in each of the knockout game of a single world cup, this WC belongs to him.
#Messi𓃵 
#FIFAWorldCup https://t.co/DIFd02TtZc"
29,Cristiano Ronaldo,Forward,11751,11751,5047.0,53224.0,cr7 | cr7|cristiano | cr7|cristiano ronaldo | cr7|cristiano ronaldo|goat_contextual | cr7|cristiano ronaldo|goat_contextual|ronaldo | cr7|cristiano ronaldo|ronaldo | cr7|cristiano|cristiano ronaldo | cr7|cristiano|cristiano ronaldo|goat_contextual | cr7|cristiano|cristiano ronaldo|goat_contextual|ronaldo | cr7|cristiano|cristiano ronaldo|ronaldo | cr7|cristiano|goat_contextual | cr7|cristiano|goat_contextual|ronaldo | cr7|cristiano|ronaldo | cr7|goat_contextual | cr7|goat_contextual|ronaldo | cr7|ronaldo | cris_contextual | cris_contextual|ronaldo | cristiano | cristiano ronaldo | cristiano ronaldo|goat_contextual | cristiano ronaldo|goat_contextual|ronaldo | cristiano ronaldo|ronaldo | cristiano|cristiano ronaldo | cristiano|cristiano ronaldo|goat_contextual | cristiano|cristiano ronaldo|goat_contextual|ronaldo | cristiano|cristiano ronaldo|ronaldo | cristiano|goat_contextual | cristiano|goat_contextual|ronaldo | cristiano|ronaldo,"0 football Knowledge.
Euro 04 Ronaldo 2+1 goals, Figo 0.

Ronaldo’s first worldcup was 2006. Portugals last worldcup before that was 1986. Ronaldo was a 1 year old. Portugal were never rated internationally until Ronaldo. https://t.co/6MSvhZaspx"
36,Kylian Mbappé,Forward,11087,11087,1844.0,9311.0,kylian mbappe|kylian_contextual | kylian mbappe|kylian_contextual|kylianmbappe | kylian mbappe|kylian_contextual|kylianmbappe|mbappe | kylian mbappe|kylian_contextual|mbappe | kylian_contextual | kylian_contextual|kylianmbappe|mbappe | kylian_contextual|mbappe | kylianmbappe | kylianmbappe|mbappe | mbappe | mbappee,@00_miski @Football__Tweet No player in history has scored more goals than Mbappé in a World Cup final 🤷🏽‍♂️ That’s a GOAT sort of player
39,Neymar,Forward,1902,1902,762.0,1167.0,ney_contextual | ney_contextual|neymar | neymar | neymar jr | neymar jr|neymarjr | neymar junior | neymar junior|neymarjr | neymarjr | neymar|neymar jr | neymar|neymar jr|neymarjr | neymar|neymarjr,@089968Raph___ @FIFAWorldCup The last min goal by Croatia is a deflection not a pure one like Neymar .. they went by luck...
33,Julián Álvarez,Forward,1433,1433,30.0,12.0,alvarez | alvarez|julian alvarez | alvarez|julian alvarez|julianalvarez | alvarez|julianalvarez | julian alvarez | julian alvarez|julianalvarez | julianalvarez,1 goal behind the top goal scorer this World Cup and he didn’t even start the first few games AND doesn’t take pens. What a first World Cup for Juli Alvarez already
31,Harry Kane,Forward,1256,1256,2830.0,4378.0,harry kane | harry kane|harrykane | harry kane|harrykane|kane | harry kane|kane | harrykane | harrykane|kane | kane,"1/(2018): France 🇫🇷 won the World Cup for the second time in 2018, 20 years after their first victory in 1998. Host Nation: Russia🇷🇺. Golden boot:Harry Kane ( 🏴󠁧󠁢󠁥󠁮󠁧󠁿) 6 goals  Cost: : $14.5 billion https://t.co/Xjkd9Ynzre"
40,Olivier Giroud,Forward,1021,1021,525.0,196.0,giroud | giroud|olivier giroud | olivier giroud,"1. It wasn’t a penalty as Di María fell too easy and has been a notorious flopper throughout his entire career.
2. Argentina’s second goal was a beautiful display of team passing and Messi’s magic.
3. The French coach made a mistake taking Giroud out of the game.
#WorldCup"
3,Emiliano Martinez,Goalkeeper,676,676,15.0,407.0,dibu | dibu martinez|emi martinez|martinez_contextual | dibu martinez|martinez_contextual | dibu|emiliano martinez|martinez_contextual | emi martinez | emi martinez|emiliano martinez|martinez_contextual | emi martinez|martinez_contextual | emiliano martinez | emiliano martinez|emilianomartinez|martinez_contextual | emiliano martinez|martinez_contextual | emilianomartinez | emilianomartinez|martinez_contextual | martinez_contextual,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
22,Luka Modrić,Midfielder,556,556,92.0,868.0,luka modric | luka modric|luka_contextual | luka modric|luka_contextual|lukamodric | luka modric|luka_contextual|modric | luka modric|lukamodric | luka modric|modric | luka_contextual | luka_contextual|modric | lukamodric | lukamodric|modric | modric,"1⃣6⃣1⃣ appearances
2⃣3⃣ goals
2⃣5⃣ assists
1⃣ x World Cup Runner Up
2⃣ x World Cup Semi-finalist

Luka Modric has been an incredible servant for Croatia 🇭🇷👏

#FIFAWorldCup #Qatar2022 #HRV https://t.co/XGXuyJ6kFR"
28,Bukayo Saka,Forward,494,494,127.0,1604.0,bukayo saka | bukayo saka|saka | bukayosaka|saka | saka,"""0 dribbled past / 1 big interception vs Bukayo Saka (premtards said Saka cooked him) 
0 dribbled past vs Hakimi &amp; Ziyech

but ""Theo can't defend""."""
35,Karim Benzema,Forward,425,425,772.0,42.0,benzema | benzema|karim benzema | benzema|karim benzema|karimbenzema | benzema|karimbenzema | karim benzema | karim benzema|karimbenzema | karimbenzema,"1. No European Champions
2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more
3. Ronaldo, Messi past their prime
4. No footballing heritage in Qatar
5. Restrictions on fans

Most boring World Cup ???

#FIFAWorldCup 
#Qatar2022 
#WorldCup2022"
38,Marcus Rashford,Forward,384,384,13.0,214.0,marcus rashford | marcus rashford|marcusrashford | marcus rashford|marcusrashford|rashford | marcus rashford|rashford | marcusrashford | marcusrashford|rashford | rashford,"1 start 3 Goals in 5 world cup games 
Rashford underserved https://t.co/uJHNqfPyrZ"
45,Vinícius Júnior,Forward,312,312,42.0,0.0,vini | vini jr | vini jr|vinicius | vinicius | vinicius jr | vinicius jr|vinicius junior | vinicius jr|vinijr | vinicius junior | vinicius junior|vinijr | vinicius|vinicius junior | vinicius|vinijr | vinijr | vini|vini jr | vini|vinicius | vini|vinicius junior | vini|vinijr,"@089968Raph___ @FIFAWorldCup My friend, you don't understand football. Did you watch the game? Did you saw possesion of ball, did you saw Brozović and Perisic chance for goal, did you saw how Juranovic eat Vinicius...no my friend, you didn't saw anything."
14,Bruno Fernandes,Midfielder,262,262,97.0,145.0,bruno fernandes|bruno_contextual|fernandes_contextual | bruno_contextual | fernandes_contextual,"12/10 World Cup predictions

Portugal vs Morocco 
2-0 Portugal

Goals by Ramos and Fernandes

England vs France
2-1 England

Goals by Saka, Kane and Mbappe"
20,Jude Bellingham,Midfielder,162,162,121.0,28.0,bellingham | bellingham|jude bellingham|jude_contextual | jude bellingham | jude bellingham|jude_contextual | jude_contextual | judebellingham,"19-year-old Jude Bellingham for England at the 2022 World Cup.

◉ Most duels won (33)
◉ Most tackles made (16)
◉ Most possession won (31)
◉ Most take-ons completed (6)

One goal, one assist. He'll be back. 😤 https://t.co/dk40rtOrAr"
41,Rafael Leão,Forward,133,133,0.0,57.0,leao | leao|rafael leao | rafa leao | rafael leao,"+12.25u💰💰

⚽️ World Cup 2020 🇶🇦 

To win:

Argentina 5/1 (1u) ✅💰
France 7/1 (1u)

Top goal scorer:
Mbappe 8/1 (.5u)✅💰
Jesus 25/1 (.25u)
Lewandowski 28/1 (.25u)

Top assists:
Messi 5/1 (1u) ✅💰
Leao 35/1 (.25u) https://t.co/39mMgUPQwy"
21,Kevin De Bruyne,Midfielder,107,107,19.0,866.0,de bruyne | debruyne | kdb | kdb|kevin de bruyne | kevin de bruyne | kevindebruyne,"1. #Mbappe𓃵 lit up the world cup scoring 4 goals in total. All NON-penalties. 

2. He went through murders row in #Messi's🇦🇷, Suarez's🇺🇾, Prime Hazard and KDB's🇧🇪, and Luka Modric's🇭🇷. 

3. Scored a goal in the final, making him the 2nd teenager to do so, right after Pele🇧🇷. https://t.co/ZSgdIhTqZy"
18,Enzo Fernández,Midfielder,75,75,53.0,8.0,enzo fernandez|enzo_contextual|enzofernandez|fernandez_contextual | enzo fernandez|enzo_contextual|fernandez_contextual | enzo_contextual | enzo_contextual|fernandez_contextual | enzofernandez | fernandez_contextual,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
42,Robert Lewandowski,Forward,75,75,19.0,1.0,lewandowski | lewandowski|robert lewandowski | robert lewandowski,"+12.25u💰💰

⚽️ World Cup 2020 🇶🇦 

To win:

Argentina 5/1 (1u) ✅💰
France 7/1 (1u)

Top goal scorer:
Mbappe 8/1 (.5u)✅💰
Jesus 25/1 (.25u)
Lewandowski 28/1 (.25u)

Top assists:
Messi 5/1 (1u) ✅💰
Leao 35/1 (.25u) https://t.co/39mMgUPQwy"
32,Jack Grealish,Forward,61,61,12.0,78.0,grealish | jack grealish | jack grealish|jackgrealish | jackgrealish,"▒▒▒▒ 23% minting ᴄᴏᴍᴘʟᴇᴛᴇ!

⚽️It's world cup day!!⚽️

The following 1/1 NFTs have now been minted in our #WorldCup2022 collection!

Grealish🏴󠁧󠁢󠁥󠁮󠁧󠁿
Lewandowski🇵🇱
Ronaldo (fat)🇧🇷
Mbappe🇫🇷

Plus a lot more! Minting is now Live👇

https://t.co/SDLFHpUW77

#Solana https://t.co/gex94E84Gw"
27,Rodrigo De Paul,Midfielder,56,56,65.0,0.0,de paul | depaul | rodrigo de paul,"@433 Lionel Messi World Cup Playlist:

1. I'm finished (Intro)
2. Ghost (ft. Big Matches)
3. GOAT (Cristiano 🐐)
4. My Owner (Ft. Ramos)
5. Dickriding (Ft. De Paul)
6. Missing (Ft. UCL without Iniesta)
7. Goals (Ft. Tap in, can’t even score penalties 😭)
8. I Need You (Iniesta, Xavi)"
23,Mason Mount,Midfielder,55,55,10.0,76.0,mason mount|masonmount|mount_contextual | mason mount|mount_contextual | masonmount | mount_contextual,40 year old Pepe more goals than Mason mount in this World Cup
16,Declan Rice,Midfielder,51,51,10.0,2.0,declan rice|declanrice|rice_contextual | declan rice|rice_contextual | declanrice | rice_contextual,"""Apart from 2 masterful goals scored in key moments of a world cup QF, I don't think France did a lot. The better team, that needed a peno to score and counts West Ham legend Declan Rice as their best player, lost.""  - @_DeclanRice 
Ooh ah up the Rice"
15,Casemiro,Midfielder,50,50,0.0,0.0,case_contextual | casemiro,"@2026_worldcup_ @brfootball The only case deserves to compare to Messi is Pele because he ""won"" 3 World Cup. 

However he won 2nd trophy in hospital. In the 3rd trophy, he only scored 1/11 goals Brazil scored in KO stage, he won by a too strong Brazil."
25,Pedri,Midfielder,49,49,55.0,0.0,pedri,@abrabor_ Whilst He is scoring goals in  world Cup quarter finals Pedri is also watching him on TV
30,Eden Hazard,Forward,49,49,1.0,0.0,eden hazard|edenhazard|hazard_contextual | eden hazard|hazard_contextual | edenhazard | hazard_contextual,"126 caps. 33 goals. And truly incredible individual performances at the 2018 World Cup.

Eden Hazard gave his all for Belgium. https://t.co/6Sf4maurSh"
1,Alisson,Goalkeeper,45,45,0.0,0.0,alisson | alisson becker | alissonbecker | alisson|alisson becker,"@19Meridian77 @MCFC__BH Brazil were eliminated from the world cup, Alisson was in goal!"
44,Son Heung-min,Forward,43,43,9.0,3890.0,heung min son | heung min son|son_contextual | son heung min | son heung min|son_contextual | son_contextual | sonny,"10. Son Heung-Min

The Man in the Iron Mask failed to register a single goal in the World Cup with South Korea &amp; his plethora of goals from last season in the EPL fell off a cliff. He barely cracked the top 25 scoring list but has the tools (&amp; set pieces) to reclaim top 5 status. https://t.co/OmfhZg0fkg"
7,Kyle Walker,Defender,38,38,17.0,12.0,kyle walker | kyle walker|walker_contextual | walker_contextual,"@AaronBastani @PaulSimon1971 @jimmyt_jpeg Yes, FIFA is totally corrupt as we know. We also know the ref was bent. France should have had ten men due to last man foul fir second pen. + many other obvious fouls against England not given. Kyle Walker totally bossed diving cheat Mbappe."
43,Sadio Mané,Forward,37,37,95.0,3.0,mane | mane|sadio mane | sadio mane,"1. No European Champions
2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more
3. Ronaldo, Messi past their prime
4. No footballing heritage in Qatar
5. Restrictions on fans

Most boring World Cup ???

#FIFAWorldCup 
#Qatar2022 
#WorldCup2022"
