player_name,player_id,position,raw_mentions,effective_mentions,weighted_mentions,total_engagement,avg_sentiment,shrunk_sentiment,positive_share,negative_share,neutral_share,not_about_share,avg_model_confidence,pred_positive_count,pred_negative_count,pred_neutral_count,pred_not_about_player_count,sentiment_component,volume_component,engagement_component,power_score,criticism_score,controversy_score,ranking_eligible,power_rank
Kylian Mbappé,36,Forward,11087,10006.713164291907,10278.229350284606,20466.0,0.4679387811412411,0.46657694071674083,0.5601663805918793,0.09222759945063821,0.26363249327529054,0.10052283554172577,0.6144472252899484,8581,252,1881,373,73.32884703583704,92.6525107628669,84.46311987640868,78.30700706530017,9.195192872674397,34.60760046953957,True,1
Lionel Messi,37,Forward,24413,20775.274237169957,21483.22712827033,127076.0,0.2300112316912469,0.22969048311598225,0.4220598617705823,0.1920486300793354,0.2562292694159977,0.1555197178649938,0.5375429513504187,13974,3717,4909,1813,61.484524155799114,100.0,100.0,73.03916690905938,19.177170708198854,47.21748093679265,True,2
Neymar,39,Forward,1902,1437.9667058335515,1528.161308112244,3096.0,0.3047641516077608,0.2988963865049874,0.4248651592853205,0.12010100767755966,0.24727907972914234,0.2526212483926244,0.5099297051921758,1177,79,295,351,64.94481932524937,73.14420960002201,68.3952862906067,66.92974407673962,11.764657174518549,37.11370602167165,True,3
Jude Bellingham,20,Midfielder,162,136.2356363960477,149.84294404706208,177.0,0.4879690356829531,0.4065698395785022,0.6140719707512048,0.1261029350682518,0.10834195662269182,0.17824529769296774,0.6350307307750844,149,3,2,8,70.32849197892511,49.50627446705535,44.09072260966183,63.54027153962483,10.334555203014952,31.05969427901555,True,4
Olivier Giroud,40,Forward,1021,856.9992038475496,948.8271281732675,917.0,0.24478156944215526,0.2372792772887192,0.36882974368451127,0.12404817424235604,0.3609932403063145,0.17086328255512723,0.5116208661621366,497,57,391,76,61.86396386443596,67.94304362207465,58.04866409776063,62.69824983929616,11.985262907035574,35.964094462072474,True,5
Marcus Rashford,38,Forward,384,352.0471935863149,365.5551791226087,441.0,0.2858843163411554,0.26420205823178494,0.5319757805284849,0.24609146418732952,0.14184755055761303,0.08466057786398948,0.568946506635224,325,49,8,2,63.210102911589246,59.0108357025798,51.8296937210048,61.23220855072891,22.676729678194345,51.19995470179757,True,6
Julián Álvarez,33,Forward,1433,1267.0842380445456,1277.7441424449175,54.0,0.20849949685400482,0.20371646269418361,0.3960471693463692,0.18754767249236437,0.30890285779050897,0.11667802809482765,0.5022685650336716,808,173,419,33,60.18582313470918,71.87259916253375,34.09756778910962,59.91435280571413,18.32099201631454,45.12320578517402,True,7
Vinícius Júnior,45,Forward,312,262.5877136448601,266.25376401325224,42.0,0.29169576465722474,0.2621573283478542,0.44292724300934905,0.15123147835212428,0.27162044767351795,0.15857195355750978,0.49528152645363593,208,15,56,33,63.107866417392714,56.07150480472738,32.0032724970006,58.590134702820436,13.572520744947585,37.76944746620591,True,8
Bruno Fernandes,14,Midfielder,262,207.07732438575084,227.48089469377842,387.0,0.214819129696235,0.18978980121517794,0.4283308740844734,0.21351174438823833,0.15476312611492524,0.24070290493844915,0.5137959391617107,177,33,10,42,59.4894900607589,53.692841256590576,50.72095936721014,57.45330723057035,18.64937562772162,44.019062489069015,True,9
Bukayo Saka,28,Forward,494,339.22522175247326,374.867405035567,3335.0,0.11171743561656693,0.10343935981492866,0.2778825534068981,0.1661651177903311,0.27764393550871835,0.32625418419367574,0.4690669631231507,148,46,108,192,55.17196799074643,58.638722072773724,69.02781789535668,57.25090379761291,15.26639991233842,36.23910884847256,True,10
Karim Benzema,35,Forward,425,382.201988077688,471.3356123026888,856.0,0.05327523854536546,0.05008724009255259,0.12607862448331017,0.0728033859379447,0.7237758407213215,0.10919735576065077,0.7172900984932424,30,25,355,15,52.50436200462763,59.835257986198755,57.463603996674536,54.46646540014655,6.750476622889395,17.458305838931278,True,11
Enzo Fernández,18,Midfielder,75,52.06739100426375,53.95592652146386,69.0,0.334625968656398,0.2150539565825933,0.47289885921263775,0.1382728905562398,0.11550482155360327,0.3249370642208907,0.5399449155203222,53,7,0,15,60.752697829129666,39.94906087759407,36.149565763916875,54.131657232301265,8.772678855487756,25.800273397871507,True,12
Rafael Leão,41,Forward,133,108.39553752980788,110.56442088511302,114.0,0.20449750132970035,0.1608525661372789,0.45969000447952435,0.25519250314982406,0.11856478341226667,0.20357554925163446,0.5482944649276543,91,25,4,13,58.042628306863946,47.22565487879786,40.37364437222466,54.1123352277868,19.987442547809415,44.54157145449706,True,13
Eden Hazard,30,Forward,49,44.4391147870828,44.974410769884265,1.0,0.4384227862391628,0.26299381718005477,0.5751970817850636,0.13677429554590081,0.19526116843507987,0.09495748766988259,0.5944305517640657,45,4,0,0,63.14969085900274,38.388045982698685,5.897845745412322,52.47217737238288,8.165234953521228,23.869109217266065,True,14
